iso3,country,region,profile,income_tier,n_years,slope,intercept,trend_p,trend_r2,aid_2023_fit_usd_m,aid_2030_proj_usd_m,annual_pct,pct_change_23_30,trend_significant,direction
AFG,Afghanistan,South Asia,Over-Resourced,L,14.0,0.06274606099635004,-121.55790735710765,0.0669027205517175,0.2527605307162924,215.4531308897482,334.82710715193747,6.475642171312135,55.40600675850722,False,Rising
AGO,Angola,Sub-Saharan Africa,Chronically Underfunded,LM,14.0,0.2486700155974961,-499.2583565986991,0.004743479408912237,0.4989714468363432,43.74970958752447,254.13047072647117,28.231881803748227,480.87350321278063,True,Rising
ALB,Albania,Europe & Central Asia,Over-Resourced,UM,14.0,0.11158930075779998,-220.61871374653524,0.021830326960104594,0.36628057587890994,167.41677089615493,366.810107146235,11.805358257981968,119.09997736950709,True,Rising
ARG,Argentina,Latin America & Caribbean,Chronically Underfunded,UM,14.0,0.08766679891657239,-175.04319291626544,0.17814700043371637,0.1456513343669735,9.041648479395322,17.548870252646733,9.162433101399348,94.08927799657556,False,Rising
ARM,Armenia,Europe & Central Asia,Over-Resourced,UM,14.0,0.0669875657094712,-131.54265181884168,0.4175929380884396,0.055473805348558794,52.15401332893143,83.9537143727272,6.928218232662586,60.972682664395286,False,Rising
ATG,Antigua and Barbuda,Latin America & Caribbean,Adequately Funded,H,8.0,0.022722441200383275,-45.01587477296531,0.8429811430465743,0.007079481895965191,1.589911681725247,2.036425082748131,2.298256232682405,28.084163803259997,False,Rising
AZE,Azerbaijan,Europe & Central Asia,Chronically Underfunded,UM,14.0,-0.06917857692473413,141.53555594194916,0.4220697616504057,0.05444515250834198,3.890501347154895,2.013327002335373,-6.683997564922217,-48.25019135881524,False,Falling
BDI,Burundi,Sub-Saharan Africa,Underfunded,L,14.0,0.14955837784316423,-297.86158501079825,0.0005104109091136063,0.6484205877135575,108.40027086763617,310.66285507039476,16.13212642637889,186.58863357429655,True,Rising
BEN,Benin,Sub-Saharan Africa,Underfunded,L,14.0,0.17098021987787537,-340.3622427641901,0.002627571530526379,0.5434152253175458,251.3310835349348,834.143517975819,18.646728032190406,231.89031227005944,True,Rising
BFA,Burkina Faso,Sub-Saharan Africa,Over-Resourced,L,14.0,0.096227384365356,-189.0380578122656,0.016211795630944797,0.39420435586022434,277.6456098575811,545.4989844894402,10.100938785394241,96.47311721199374,True,Rising
BGD,Bangladesh,South Asia,Over-Resourced,LM,14.0,0.16874407065276678,-334.24534892959394,0.0002862570403131531,0.6797063356818273,1240.2894544954158,4043.5051893581403,18.38171266062951,226.01302661265876,True,Rising
BIH,Bosnia and Herzegovina,Europe & Central Asia,Adequately Funded,UM,14.0,0.11855287812381729,-236.54447352460315,0.041130414049482464,0.30361436989390705,25.789202642952016,60.42820329522784,12.586640623122825,134.31590395348024,True,Rising
