Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,20.5072949,20.1457819,22.1784637,22.155125,21.6960634,22.7349885,23.7741041,23.2985617,19.6224247,19.1785042,17.960381,18.1708567,13.1405332,10.6546599
Albania,ALB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,45.5763318,46.4976012,44.742022,44.410272,52.8982848,54.9095937,55.1796244,56.3191004,56.5605037,51.85865,51.704282,53.5111467,55.0925288,57.0459179
Algeria,DZA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,39.6206596,37.2941554,38.5167643,40.6276868,45.2110876,44.4268928,43.0877306,41.1681878,45.716986,45.1981709,46.1037431,42.3162152,46.1462983,44.4269433
American Samoa,ASM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,55.9462322,55.9198894,55.9265237,55.9339338,66.2726692,66.2174152,66.236622,66.2428596,66.2771005,66.3104743,66.2151577,66.2717223,66.2632058,66.2931807
Andorra,AND,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,76.0244169,75.9980761,76.0047104,76.0121205,86.350854,86.2956019,86.3148087,86.3210444,86.3552853,86.388661,86.2933425,86.3499091,73.8781316,73.9008966
Angola,AGO,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,32.8394682,31.706399,31.523145,31.3397218,33.062878,33.1054157,32.8806234,32.5164175,32.3152788,33.6134335,31.5783465,33.1661374,35.1519358,35.2271686
Anguilla,AIA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,86.0635103,86.0371676,86.0438038,86.051212,79.658129,79.6028749,79.6220817,66.2428596,66.2771005,66.3104743,66.2151577,66.2717223,72.9559309,72.9859058
Antigua and Barbuda,ATG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,65.9853236,65.9589828,65.9656171,65.9730272,52.8872095,59.5246902,59.543897,46.1646729,46.1989138,46.2322895,39.444246,39.5008106,49.5362212,59.7249052
Argentina,ARG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,51.4811813,52.7352059,51.3675738,51.0243674,54.804979,53.6485129,58.0051769,57.0891516,56.3521358,56.4534275,54.2362181,53.5291966,53.451823,52.5357627
Armenia,ARM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,48.5546988,51.1194758,51.9498386,52.6967611,48.7616298,48.5715237,49.2870403,51.1345469,47.9754653,46.417589,44.7767568,44.4308943,44.9105336,48.1625284
Aruba,ABW,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,70.8310747,70.8150237,70.8190661,70.823581,64.8884981,64.8548269,64.8665322,64.8703335,68.9696501,68.9899885,68.9319034,68.9663738,70.9492691,64.1272277
Australia,AUS,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,84.6485281,84.4677746,84.4838431,82.8811134,86.2376023,83.9328327,82.934005,83.3122495,84.8771645,83.7468389,82.5570088,84.4436776,85.7080678,85.9860939
Austria,AUT,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,85.3867651,81.7606984,80.9035185,81.9429919,84.2574778,82.4687154,83.5831747,82.719903,82.5356457,85.421111,88.4396396,86.6567707,85.1211403,82.0436925
Azerbaijan,AZE,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,34.6235951,35.8656752,35.6234046,39.5491523,43.0677538,44.4626386,48.8845413,48.7051372,48.3097216,50.2593949,50.2315219,50.2323191,50.2836338,52.6166207
"Bahamas, The",BHS,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,70.3576945,70.3455692,70.3486239,70.3520344,65.8683095,65.8428728,65.8517159,65.8545859,65.8703491,65.8857138,62.7607215,62.7867628,65.1327908,65.1448344
